ultimate_group,manufacturer_normalized,relationship_type,evidence,capacity_val,bis_registrations,locations
Insolation Energy Group,INSOLATION GREEN ENERGY PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of Insolation Energy Limited,4919.0,"R-84003549, R-84005622","Khasra No 11/1, 1136/9 | KHASRA NO. 4205/3454"
Premier Energies Group,PREMIER ENERGIES LIMITED,Ultimate Group Parent,Premier Energies Limited,4068.0,"R-63002356, R-63003719, R-63005460","Plot No-8/B/1 & 8/B/2, SY No. 62 P 63 | Plot No. S-95, S-96, S-100, S-101, S | "
Gautam Solar,GAUTAM SOLAR PRIVATE LIMITED,Independent Group,Promoted by Mohanka family (Gautam Mohanka),3934.0,"R-83006041, R-91017574","Plot No-67-70, Sector-8A IIE, Sidcul | "
SAEL Group,SAEL SOLAR P6 PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of SAEL Limited,3909.0,"R-84004898, R-84006297","Kh. No. 354/2, New Kh | KH NO. 154, 743/738 AT VILLAGE"
Solex Energy,SOLEX ENERGY LIMITED,Independent Group,"Solex Energy Limited, listed company (promoted by Chetan Shah)",3803.0,"R-72002577, R-72008125","Plot No. 131/A Phase-1, G.I.D.C | Plot No 1A, Block 938"
First Solar Group,FS INDIA SOLAR VENTURES PRIVATE LIMITED,Independent Group,US-headquartered thin-film manufacturer First Solar's India entity,3433.0,R-61004316,"Plot No. A-1/1, Sipcot"
Saatvik Green Energy Group,SAATVIK SOLAR INDUSTRIES PRIVATE LIMITED,Subsidiary,Material subsidiary of Saatvik Green Energy Ltd,3122.0,R-91017981,"Village Mohari, Tehisl"
Adani Group,MUNDRA SOLAR PV LIMITED,Subsidiary,Adani Group's solar manufacturing arm (Adani Solar),2659.0,"R-72008532, R-72012025","Survey no 180 P, Co Mundra | Co-ALMM with M/s. Goldi Sun"
Pahal Solar,PAHAL SOLAR PRIVATE LIMITED,Independent Group,Promoted by Patel family (Paresh Patel),2340.0,"R-72001848, R-72015008","Block No | Block No. 267/B, 271/B,272, B/H"
Adani Group,MUNDRA SOLAR ENERGY PRIVATE LIMITED,Subsidiary,Adani Group's solar manufacturing arm (Adani Solar),1977.0,R-72005460,"Taluka Mundra, Survey No.180/P"
Saatvik Green Energy Group,SAATVIK GREEN ENERGY PRIVATE LIMITED,Subsidiary,Material subsidiary of Saatvik Green Energy Ltd,1740.0,R-91003670,"Village Dubli, Tehshil- Barara, Dist"
Redren Energy,REDREN ENERGY PRIVATE LIMITED,Independent Group,Redren Energy Private Limited (promoted by the Patel family in Morbi),1684.0,R-72001775,"SURVEY NO. 154/1, NATIONAL"
Schneider Group,LUMINOUS POWER TECHNOLOGIES PRIVATE LIMITED,Subsidiary,"Schneider Group's retail module brand, operated via Luminous Power Technologies",1678.0,"R-72013200, R-83011410",Co-ALMM with M/s. Knack | PLOT NO-CP-17 TO CP-22
PIXON GREEN ENERGY PRIVATE LIMITED,PIXON GREEN ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,1646.0,R-72004570,"NO. 1571/1, 158/1, 158/2"
Znshine Solar,ZNSHINE PV-TECH INDIA PRIVATE LIMITED,Independent Group,Znshine Solar India entity,1552.0,R-83012947,"KH. NO. 132, 137, 138"
SUNIFY SOLAR LLP,SUNIFY SOLAR LLP,Standalone ALMM entity,No other ALMM entity or group connection identified,1533.0,R-72005800,"Survey no. 624P1, Near"
Kalthia Group,KOSOL ENERGIE PRIVATE LIMITED,Subsidiary,Part of the Kalthia Group (promoted by Ratilal Kalthia),1526.0,R-72003417,Survey No: 415/B
Waaree Group,INDOSOLAR LIMITED,Acquired Entity,Waaree Energies acquired 96.15% stake in Indosolar Limited via NCLT in 2022,1525.0,R-93032344,
NAVITAS GREEN SOLUTIONS PRIVATE LIMITED,NAVITAS GREEN SOLUTIONS PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,1392.0,"R-72003140, R-72011657","Plot No. B-20/3, Road No | "
Novasys Greenergy Group,NOVASYS GREENERGY PRIVATE LIMITED,Ultimate Group Parent,Novasys Greenergy Private Limited (promoted by the Sharda family),1369.0,"R-71010499, R-71042080","Khasra No. 185 | PLOT NO. 59, KH. NO. 178, 179"
Sova Solar,SOVA SOLAR LIMITED,Independent Group,Promoted by Subrata Mukherjee,1368.0,R-51000590,"Layout Plot No: 25, E.P.I.P"
SOLITECH GREEN ENERGY PRIVATE LIMITED,SOLITECH GREEN ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,1321.0,R-72013358,Block No 210 B
Cosmic PV,COSMIC PV POWER PRIVATE LIMITED,Independent Group,Promoted by Jenish Ghael and Shravan Gupta,1302.0,R-72009539,Survey No. 1605/1
INOXGFL Group,INOX SOLAR LIMITED,Subsidiary,"INOXGFL Group's solar manufacturing entity, Devansh Jain",1274.0,R-72015016,
ACME Group,MKU HOLDINGS PRIVATE LIMITED,Subsidiary,"ACME Group's equipment manufacturing arm, Manoj Upadhyay",1247.0,R-84005282,PLOT-16-17-20-21
Jakson Group,JAKSON ENGINEERS LIMITED,Ultimate Group Parent,Jakson Group's primary manufacturing entity (Sundeep Gupta),1209.0,R-93005959,"Plot No-25, Ecotech-III"
Emmvee Group,EMMVEE PHOTOVOLTAIC POWER PRIVATE LIMITED,Ultimate Group Parent,Emmvee Group's primary module manufacturing entity,1190.0,"R-62001074, R-62002976",Road | Sy. No. 66-70/3
Sunbond Energy,SUNBOND ENERGY,Independent Group,Promoted by Bhorania family,1115.0,"R-72005762, R-72015164","S.No. 181/P2 Opp. 66 kV substation | SURVEY NO 270/ P1-P2, NR"
RP-Sanjiv Goenka Group,BEST APARTMENT PRIVATE LIMITED,Subsidiary / Brand Partner,"Operating under RPSG Solvanta brand, directed by Alok Kalani (RPSG Executive)",1105.0,R-84006300,BAD KE
KRG Group,KRG POWER SOLAR PRIVATE LIMITED,Independent Group,KRG Group entity (promoted by Kumarasamy Rajagopal),1094.0,R-61006203,K.AYYAMPALAYAM POST
Premier Energies Group,PREMIER ENERGIES GLOBAL ENVIRONMENT LIMITED,Wholly Owned Subsidiary,Converted/sister entity of Premier Energies Limited,1085.0,R-63004740,"Plot No S-95,S-96,S-100,S"
Micromax Group,STARTUP ENERGY PRIVATE LIMITED,Subsidiary,"Micromax Informatics Ltd subsidiary, Rajesh Agarwal / Vikas Jain",1034.0,R-84005800,
Swelect Energy Systems Group,SWELECT HHV SOLAR PHOTOVOLTAICS PRIVATE LIMITED,Subsidiary,Subsidiary of publicly listed SWELECT Energy Systems Limited,853.0,R-61003433,"No. 169,166, Sembagoundan"
Bluebird Solar,BLUEBIRD SOLAR PRIVATE LIMITED,Independent Group,Promoted by Mittal family,819.0,R-93014680,"Plot No: 5, Ecotech-II"
SILVER CONSUMER ELECTRICALS PRIVATE LIMITED,SILVER CONSUMER ELECTRICALS PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,774.0,R-72015253,"PLOT NO 1,3,5,6, R.S.NO"
UTL Solar,FUJIYAMA POWER SYSTEMS LIMITED,Independent Group,UTL Solar brand (promoted by Fujiyama Power Systems),710.0,"R-93022209, R-93037940","Plot No. 51,52 Sector | SECTOR-ECOTECH"
Nithin Sai Renewables,NITHIN SAI RENEWABLES PRIVATE LIMITED,Independent Group,Nithin Sai group,691.0,R-62005509,"PLOT NO 75-A, 2ND PHASE"
GREENBRILLIANCE RENEWABLE ENERGY LLP,GREENBRILLIANCE RENEWABLE ENERGY LLP,Standalone ALMM entity,No other ALMM entity or group connection identified,662.0,"R-51003239, R-72002119, R-72011339, R-72012416, R-91019879","ROAD | Plot No 1408 G.I.D.C | Shed No.1 Manvi | BLOCK NO.645, NR | KHASRA"
Shirdi Sai Electricals (SSEL) Group,INDOSOL SOLAR PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of Shirdi Sai Electricals Limited,632.0,R-66003000,Sy. Nos. 584/9
Army Solar,ARMY SOLAR ENERGY PRIVATE LIMITED,Independent Group,Promoted by Radadiya family,622.0,R-72013790,BLOCK NO.119
Australian Premium Solar,AUSTRALIAN PREMIUM SOLAR LIMITED,Independent Group,Promoted by Chimanbhai Patel (NSE SME listed),622.0,R-72001791,"Tajpur, NH-08, TA:Prantij"
Unique Sun Power,UNIQUE SUN POWER PRIVATE LIMITED,Independent Group,Promoted by Mayur Vastarpara (Sunora Solar brand),609.0,R-72005550,"NO. 2281/2/1/1, SUB PLOT. 1"
KNACK ENERGY PRIVATE LIMITED,KNACK ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,598.0,R-72012319,Survey No. 291 & 292
WEBSOL ENERGY SYSTEM,WEBSOL ENERGY SYSTEM,Standalone ALMM entity,No other ALMM entity or group connection identified,579.0,R-51000698,"SECTOR-II, FALTA SPECIAL"
ICON SOLAR ENERCON PRIVATE LIMITED,ICON SOLAR ENERCON PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,574.0,R-59000140,"No. 09, Gram Dighari"
Ganesh Green Bharat Group,GANESH GREEN BHARAT LIMITED,Ultimate Group Parent,"Ganesh Green Bharat Limited (formerly Ganesh Electricals), listed on NSE SME",557.0,R-72005886,Survey No
FRONTIER ENERGY PRIVATE LIMITED,FRONTIER ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,548.0,R-63005045,
ADM SOLAR PRIVATE LIMITED,ADM SOLAR PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,514.0,R-93011576,"Plot No: 22/1, The Printer"
OSWAL SOLAR PRIVATE LIMITED,OSWAL SOLAR PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,513.0,R-91013935,
Arkalight Solar,ARKALIGHT SOLAR PRIVATE LIMITED,Independent Group,Promoted by Kishan Tejani,506.0,R-72012661,Block No. 344
Credence Solar,CREDENCE SOLAR PANELS PRIVATE LIMITED,Independent Group,Promoted by Umesh Boda,495.0,R-72006165,Plot no 18 and 19
ALPEX SOLAR PRIVATE LIMITED,ALPEX SOLAR PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,423.0,R-93007480,"Plot No. I-25 &I-26, UPSIDC, Site-5"
MACWIN SOLAR ENERGY PRIVATE LIMITED,MACWIN SOLAR ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,408.0,R-72012343,"Block No.- 462, Near Kanhya"
SURYA INTERNATIONAL,SURYA INTERNATIONAL,Standalone ALMM entity,No other ALMM entity or group connection identified,397.0,R-52000175,"Plot No. S4-E1-21, EMC Park"
Goldi Solar Group,GOLDI SOLAR PRIVATE LIMITED,Ultimate Group Parent,Goldi's primary corporate entity,396.0,R-72001805,"Block No:149, Plot No: J&K1, Beside"
BVG India,BVG INDIA LIMITED,Independent Group,India's largest facility management services company (promoted by H.R. Gaikwad),367.0,R-93032417,"Plot No. 6, Sector Ecotech 8, Gautam"
Sudarshan Saur,SUDARSHAN SAUR SHAKTI PRIVATE LIMITED,Independent Group,Promoted by Kulkarni family (Sudarshan Saur brand),360.0,R-71046108,"GUT NO. 37, ITAWA"
AXITEC ENERGY INDIA PRIVATE LIMITED,AXITEC ENERGY INDIA PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,318.0,"R-61005258, R-72005924, R-72013854","Survey No.: 257/5, 257/6, Thandalam | Co-ALMM with M/s. Rayzon | Co-ALMM with M/s. Knack"
Integrated Batteries (IB Solar),INTEGRATED BATTERIES INDIA PRIVATE LIMITED,Independent Group,IB Solar brand (promoted by Abhinav Mahajan),284.0,R-93017612,"Plot No. 40, Sector"
SAEL Group,SAEL SOLAR MFG PRIVATE LIMITED,Sister Company / Subsidiary,"SAEL Group entity, common promoter ownership",220.0,R-97001058,VILLAGE HUKUMAT SINGH
HEXATRON INDUSTRIES,HEXATRON INDUSTRIES,Standalone ALMM entity,No other ALMM entity or group connection identified,203.0,R-72010715,"Survey No. 575, 576, 577 & 578 Village"
Citizen Solar,CITIZEN SOLAR NEW,Independent Group,Citizen Solar Private Limited (promoted by the Shah family),198.0,R-72001929,Survey No-966
RAJDEEP SOLAR ENERGY,RAJDEEP SOLAR ENERGY,Standalone ALMM entity,No other ALMM entity or group connection identified,194.0,R-72012270,"Survey no. 432, Moti Chirai"
H R SOLAR RAGHUDEBPUR,H R SOLAR RAGHUDEBPUR,Standalone ALMM entity,No other ALMM entity or group connection identified,187.0,R-51001686,NH-6
Avco Power,AVCO POWER PRIVATE LIMITED,Independent Group,"Promoted by Valsad, Gujarat-based entrepreneurs",185.0,R-72012432,survey No
Insolation Energy Group,INSOLATION ENERGY PRIVATE LIMITED,Ultimate Group Parent,Insolation Energy group's parent entity (Manish Gupta & Vikas Jain),174.0,R-84002330,"Khasra No 766/2, Vill-Bagwara, Teh"
SURANA SOLAR LIMITED,SURANA SOLAR LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,174.0,R-63004979,"Sy No. 49, 51, 52 to 55"
JEEM ENERGY PRIVATE,JEEM ENERGY PRIVATE,Standalone ALMM entity,No other ALMM entity or group connection identified,165.0,R-72013773,"Plot no 1 to 4, Sur No. 211"
"WORLDONE D 18, UMRED, MIDC","WORLDONE D 18, UMRED, MIDC",Standalone ALMM entity,No other ALMM entity or group connection identified,164.0,R-71039837,
AATMANIRBHAR,AATMANIRBHAR,Standalone ALMM entity,No other ALMM entity or group connection identified,158.0,R-72005940,Survey no 192
"ASOTE SOLUTIONS 346, ASOT SOLAR, ANITA, 346, KIM-VADOLI","ASOTE SOLUTIONS 346, ASOT SOLAR, ANITA, 346, KIM-VADOLI",Standalone ALMM entity,No other ALMM entity or group connection identified,152.0,R-72011754,
NAV-YUG SOLAR LLP,NAV-YUG SOLAR LLP,Standalone ALMM entity,No other ALMM entity or group connection identified,146.0,R-72011967,"C-23/22,23/23,23/24 HOJIWALA"
ABHISHEK SOLAR,ABHISHEK SOLAR,Standalone ALMM entity,No other ALMM entity or group connection identified,142.0,R-58000140,Khata No. 67 Plot No
ECE (India) Energies,ECE,Ultimate Group Parent,"ECE (India) Energies Private Limited, based in Nagpur/Amravati",139.0,"R-71012220, R-72012203","F-27, Express | Co-ALMM with M/s"
RAAJRATNA,RAAJRATNA,Standalone ALMM entity,No other ALMM entity or group connection identified,136.0,"R-72003379, R-72013099",Survey No. 69/2 | Co-ALMM with M/s
AGRAWAL,AGRAWAL,Standalone ALMM entity,No other ALMM entity or group connection identified,125.0,R-71013536,"Plot No. 66/0, Dhoop"
"SPARK SOLAR N-4, RAJLAXMI HITECH TEXTILE PARK","SPARK SOLAR N-4, RAJLAXMI HITECH TEXTILE PARK",Standalone ALMM entity,No other ALMM entity or group connection identified,124.0,R-71023310,
LAXMI SOLAR POWER,LAXMI SOLAR POWER,Standalone ALMM entity,No other ALMM entity or group connection identified,121.0,R-59000442,"Khasra No. 192, Harsun Tildahdih"
SASA ENERGY,SASA ENERGY,Standalone ALMM entity,No other ALMM entity or group connection identified,98.0,R-72005681,"S.No. 193, Opposite"
Tata Group,TATA POWER RENEWABLE ENERGY LIMITED,Ultimate Group Parent,Tata Power Group's primary renewable energy entity,94.0,R-62002585,"Plot No. 24-B, Industrial Shed, SY No"
JUNNA SOLAR SYSTEMS,JUNNA SOLAR SYSTEMS,Standalone ALMM entity,No other ALMM entity or group connection identified,94.0,R-63004146,Unit – II Plot Number 21
PV POWER,PV POWER,Standalone ALMM entity,No other ALMM entity or group connection identified,86.0,R-71007650,"Plot No.60, Tarapur Textile Park"
EASY PHOTO VOLTECH PRIVATE LIMITED,EASY PHOTO VOLTECH PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,81.0,R-93023272,Khasra no 98 Sikhera road industraial
PRAVANYA SOLAR PRIVATE LIMITED,PRAVANYA SOLAR PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,79.0,R-83011754,"C-2, Industrial Area"
RHINE SOLAR LIMITED,RHINE SOLAR LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,71.0,R-91008249,"Killa No. 80/6, Janti Kalan Rd, Sersa"
SUN N SAND EXIM PRIVATE LIMITED,SUN N SAND EXIM PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,69.0,R-91004529,"Plot No- 106, Sector 16, HSIIDC"
SIRIUS SOLAR ENERGY PRIVATE LIMITED,SIRIUS SOLAR ENERGY PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,67.0,R-63002038,"PLOT NO: 30 & 46, ALEAP"
RAYON POWER PRIVATE LIMITED,RAYON POWER PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,62.0,R-71036293,"Plot No. 42, Sector 5"
ORB ENERGY PRIVATE,ORB ENERGY PRIVATE,Standalone ALMM entity,No other ALMM entity or group connection identified,59.0,R-62001708,"No. 95, Digital Park Road, 2nd"
SOLBERRY ENERGY,SOLBERRY ENERGY,Standalone ALMM entity,No other ALMM entity or group connection identified,56.0,R-72009490,"Survey No.-164/002 & 165, Near"
ONIX-TECH RENEWABLES PRIVATE LIMITED,ONIX-TECH RENEWABLES PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,56.0,R-72012360,Plot No. P212 B
Sahaj Solar,SAHAJ SOLAR PRIVATE,Ultimate Group Parent,Sahaj Solar Limited (listed on NSE SME),54.0,R-72005630,"Plot No. D4, Survey No. 742,745"
ANKUR TRADERS,ANKUR TRADERS,Standalone ALMM entity,No other ALMM entity or group connection identified,54.0,R-93009695,"D-130, B.S. Road"
AG SOLAR URJA UDYOG,AG SOLAR URJA UDYOG,Standalone ALMM entity,No other ALMM entity or group connection identified,53.0,R-52000205,"Plot No. 428 & 443, Khata No"
REIL,RAJASTHAN ELECTRONICS AND INSTRUMENTS LIMITED,State-Owned Enterprise,Joint Venture of Govt of India (51% via IL) and Govt of Rajasthan (49% via RIICO),53.0,"R-59000558, R-72013498, R-72013528, R-84003077","Co-ALMM with M/s | Co-ALMM with M/s. Sahaj | Industrial Area, Sirsi"
TOTAL SOLAR,TOTAL SOLAR,Standalone ALMM entity,No other ALMM entity or group connection identified,52.0,R-72009466,"Block No. 84 Paiki, Opposite"
INTER SOLAR SYSTEMS,INTER SOLAR SYSTEMS,Standalone ALMM entity,No other ALMM entity or group connection identified,49.0,R-97001139,"Village Sundran, Derabassi, P.O –"
CONTENDRE,CONTENDRE,Standalone ALMM entity,No other ALMM entity or group connection identified,49.0,R-71013196,"Unit No: I/6, Rajlakshmi HiTech"
Matri Shree Group,MATRI SHREE TECHNO INDUSTRIES,Independent Group,"Matri Shree Techno Industries (Mirzapur, UP)",49.0,R-93006483,
AMRUT ENERGY,AMRUT ENERGY,Standalone ALMM entity,No other ALMM entity or group connection identified,48.0,R-72006793,"Survey No. 69, Opp"
POWERTRAC SOLAR,POWERTRAC SOLAR,Standalone ALMM entity,No other ALMM entity or group connection identified,47.0,R-72007269,"LS No. - 248/2, Opp. Rai Bus stand"
URATOM SOLAR (INDIA) PRIVATE LIMITED,URATOM SOLAR (INDIA) PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,46.0,R-72010081,"Survey No. 752 P1, National Highway"
"MKTEK 6-16, 6/1/1 1-2","MKTEK 6-16, 6/1/1 1-2",Standalone ALMM entity,No other ALMM entity or group connection identified,46.0,R-91017639,
HQ LAMPS,HQ LAMPS,Standalone ALMM entity,No other ALMM entity or group connection identified,46.0,R-91014206,"Plot No. 459-B, Sector - 53, Phase III"
CONTENDRE FINAL,CONTENDRE FINAL,Standalone ALMM entity,No other ALMM entity or group connection identified,45.0,R-72012700,"Plot No: 369, Pandit"
LUBI ELECTRONICS,LUBI ELECTRONICS,Standalone ALMM entity,No other ALMM entity or group connection identified,40.0,R-72002380,"Survey No. 75, Opposite Essar Petrol"
SRI SAVITR SOLAR PRIVATE,SRI SAVITR SOLAR PRIVATE,Standalone ALMM entity,No other ALMM entity or group connection identified,40.0,R-63000922,"Plot No. 34/1, Sy No. 374, C.I.E. Phase"
AKSHAYA SOLAR POWER,AKSHAYA SOLAR POWER,Standalone ALMM entity,No other ALMM entity or group connection identified,33.0,R-63000825,"Plot No G 1/A, TSIIC General Park"
KLK VENTURES PRIVATE LIMITEDA52,KLK VENTURES PRIVATE LIMITEDA52,Standalone ALMM entity,No other ALMM entity or group connection identified,33.0,R-93024279,"Sector 58, Gautam Budha Nagar"
SURYANAND SOLAR OPP PRINCE STEEL,SURYANAND SOLAR OPP PRINCE STEEL,Standalone ALMM entity,No other ALMM entity or group connection identified,33.0,R-71028959,Plot No
SUN 2 EARTH SOLAR,SUN 2 EARTH SOLAR,Standalone ALMM entity,No other ALMM entity or group connection identified,30.0,R-72014001,"Block No. 331, Ena Gam, Palsana"
LOOM SOLAR PRIVATE LIMITED,LOOM SOLAR PRIVATE LIMITED,Standalone ALMM entity,No other ALMM entity or group connection identified,30.0,R-91017728,"Block Ala, Palwal"
SAN ENERGY,SAN ENERGY,Standalone ALMM entity,No other ALMM entity or group connection identified,27.0,R-53000221,"Plot No. 356, San Energy"
NEXTBRIO KHAJOOR GAON,NEXTBRIO KHAJOOR GAON,Standalone ALMM entity,No other ALMM entity or group connection identified,21.0,R-93035440,
LUBI,LUBI,Standalone ALMM entity,No other ALMM entity or group connection identified,19.0,R-72011304,Co-ALMM with 40
Visaka Industries,VISAKA INDUSTRIES LIMITED,Independent Group,"ATUM solar brand, listed company (promoted by G. Vivekanand)",16.0,R-63000795,"Survey No. 95&96, Adjacent to"
